City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,constantia,44.1833,28.65,23.38,77,20,6.28,RO,1717175886
331,vilcun,-38.65,-72.2333,10.41,85,100,4.49,CL,1717175786
332,sassandra,4.95,-6.0833,26.93,85,100,3.38,CI,1717175887
333,sitangkai,4.6628,119.3928,28.51,81,100,2.19,PH,1717175887
334,port douglas,-16.4833,145.4667,22.41,87,32,2.07,AU,1717175887
335,balykchy,42.4557,76.1861,12.12,59,0,1.54,KG,1717175887
336,cobram,-35.9167,145.65,8.51,93,99,3.78,AU,1717175887
337,flying fish cove,-10.4217,105.6791,25.82,88,75,2.57,CX,1717175887
338,tirumullaivasal,11.2333,79.8333,31.26,71,9,5.27,IN,1717175887
339,limassol,34.675,33.0333,22.32,78,0,8.23,CY,1717175851
340,aldan,58.6031,125.3894,11.29,88,66,0.67,RU,1717175888
341,neelankarai,12.9455,80.2575,32.82,78,40,4.12,IN,1717175888
342,victoria,22.2855,114.1577,28.03,88,79,4.92,HK,1717175831
343,namtsy,62.7161,129.6658,18.36,53,83,5.19,RU,1717175888
344,guerrero negro,27.9769,-114.0611,18.15,68,81,6.95,MX,1717175888
345,merida,20.9667,-89.6167,37.01,45,75,5.81,MX,1717175647
346,opuwo,-18.0607,13.84,18.73,42,0,3.79,NA,1717175888
347,oriximina,-1.7656,-55.8661,28.74,79,5,0.5,BR,1717175889
348,lubang,13.8584,120.124,30.12,77,99,6.67,PH,1717175889
349,gebeit,21.0667,36.3167,29.99,20,6,4.65,SD,1717175889
350,kodinsk,58.6881,99.1844,8.02,99,100,2.41,RU,1717175889
351,alesund,62.4723,6.1549,16.51,82,75,5.66,NO,1717175889
352,vila franca do campo,37.7167,-25.4333,20.23,99,7,6.93,PT,1717175889
353,timmins,48.4669,-81.3331,24.9,29,20,2.57,CA,1717175817
354,vorgashor,67.5833,63.95,-2.33,87,100,5.69,RU,1717175890
355,poletayevo,55.0336,61.1138,14.9,82,64,1.9,RU,1717175890
356,willmar,45.1219,-95.0433,21.12,49,20,2.06,US,1717175890
357,ngetkib,7.3645,134.5148,27.14,89,75,0.0,PW,1717175890
358,tazovsky,67.4667,78.7,-1.33,97,100,8.95,RU,1717175890
359,robore,-18.3333,-59.75,31.05,45,6,0.0,BO,1717175890
360,coquimbo,-29.9533,-71.3436,13.85,82,20,2.06,CL,1717175765
361,taltal,-25.4,-70.4833,17.82,74,97,1.56,CL,1717175420
362,ta`u,-14.2336,-169.5144,28.05,75,100,13.11,AS,1717175891
363,illizi,26.4833,8.4667,39.89,12,43,5.21,DZ,1717175891
